Date,Open,High,Low,Close,Volume
9/26/2012,124.56,125.09,124.45,125.04,7193305
9/27/2012,124.55,124.8,123.77,124.15,5147680
9/28/2012,124.75,125.24,123.81,124.22,7173350
10/1/2012,123.97,124.47,123.38,124.42,4842566
10/2/2012,123.91,124.52,123.81,124.25,3540098
10/3/2012,123.86,124.3,123.62,124.29,3800831
10/4/2012,123.46,123.8,122.57,122.74,6214730
10/5/2012,121.57,121.68,120.92,121.15,8341111
10/8/2012,121.98,122.27,121.69,122.17,1568391
10/9/2012,121.47,122.19,121.38,121.95,4753101
10/10/2012,121.46,122.96,121.26,122.81,5430204
10/11/2012,121.96,123.66,121.89,123.66,5194434
10/12/2012,124.07,124.78,123.78,123.97,4934839
10/15/2012,123.78,124.14,123.43,123.69,3036046
10/16/2012,122.9,122.94,121.94,121.98,5398643
10/17/2012,121.17,121.26,120.57,120.85,6932539
10/18/2012,121.12,121.53,119.87,120.11,8558559
10/19/2012,120.34,121.81,120.28,121.74,7618211
10/22/2012,121.43,121.84,120.94,120.96,6910526
10/23/2012,122.1,122.73,122.02,122.69,5760796
10/24/2012,121.86,122.29,121.48,121.48,6824490
10/25/2012,120.56,121.54,120.33,120.86,5292472
10/26/2012,121.44,122.65,121.27,122.64,5889484
10/31/2012,122.68,123.7,122.63,123.36,5025519
11/1/2012,122.77,122.88,122.08,122.35,3659628
11/2/2012,121.28,122.31,121.24,122.26,3527781
11/5/2012,122.82,123.25,122.79,122.95,2935974
11/6/2012,122.55,122.86,121.78,121.79,4484592
11/7/2012,123.95,124.53,123.76,124,10070915
11/8/2012,123.79,125.86,123.43,125.84,8580376
11/9/2012,125.63,125.98,125.18,125.98,5036872
11/12/2012,125.84,126.38,125.79,126.19,2072128
11/13/2012,126.8,126.82,125.99,126.61,2863861
11/14/2012,125.72,126.79,125.6,126.73,4694693
11/15/2012,126.1,127.02,126,126.48,5550929
11/16/2012,126.36,127.19,126.28,126.37,4592415
11/19/2012,125.46,125.81,125.3,125.66,3623180
11/20/2012,125.48,125.67,124.38,124.4,4659214
11/21/2012,124.19,124.42,124.02,124.33,2424159
11/23/2012,124.17,124.45,124.11,124.21,987173
11/26/2012,125.16,125.52,124.75,124.8,2799647
11/27/2012,124.94,125.39,124.7,125.29,2544314
11/28/2012,125.97,126.2,125.09,125.11,3570175
11/29/2012,124.86,125.44,124.66,125.13,2760924
11/30/2012,125.48,125.54,124.71,124.79,3702398
12/3/2012,123.72,124.79,123.62,124.66,5427904
12/4/2012,125.02,125.41,124.84,125.38,2586243
12/5/2012,125.4,125.81,125.17,125.32,1978111
12/6/2012,125.86,126.08,125.51,125.59,2301120
12/7/2012,124.5,124.96,124.34,124.43,4020831
12/10/2012,124.96,125.08,124.54,124.98,2134231
12/11/2012,124.26,124.31,123.83,124.03,3777883
12/12/2012,123.83,124.34,122.57,122.59,7119692
12/13/2012,122.29,123.18,122.13,122.68,6381446
12/14/2012,123.19,123.71,123.08,123.6,3833049
12/17/2012,123.5,123.52,121.71,121.75,6869984
12/18/2012,121.4,121.78,119.9,120.51,12024123
12/19/2012,120.97,121.65,120.72,120.91,4880495
12/20/2012,121.29,121.64,120.62,120.93,4567812
12/21/2012,122.31,122.43,121.95,122.25,6087603
12/24/2012,122,122.08,121.87,122.03,1071090
12/26/2012,121.95,122.21,121.81,122.2,2247827
12/27/2012,121.88,123.29,121.83,122.61,4262619
12/28/2012,123.14,123.34,122.78,123.31,3928559
12/31/2012,122.87,122.97,120.91,121.18,6422918
1/2/2013,119.76,119.9,119.41,119.56,7473685
1/3/2013,119.38,119.49,117.9,117.94,10005682
1/4/2013,117.66,118.44,117.36,118.4,9574607
1/7/2013,118.37,118.73,118,118.45,4196169
1/8/2013,119.04,119.29,118.82,119.23,4380803
1/9/2013,119.25,119.54,118.87,119.12,3870220
1/10/2013,118.63,119.3,118.36,118.79,5603077
1/11/2013,118.52,119.86,118.35,119.85,4773149
1/14/2013,120.04,120.28,119.37,119.52,3067158
1/15/2013,120.61,120.7,119.97,120.07,5358533
1/16/2013,120.63,120.68,120.01,120.32,4286085
1/17/2013,119.33,119.55,118.75,119.12,7019198
1/18/2013,119.57,120.21,119.46,120.04,4659908
1/22/2013,119.55,120.3,119.38,120.27,3874061
1/23/2013,120.34,120.58,119.95,120.09,2849315
1/24/2013,119.87,119.97,119.26,119.67,4178881
1/25/2013,118.42,118.6,117.77,118.03,8750604
1/28/2013,117.02,117.72,117,117.6,6060021
1/29/2013,117.62,118.08,116.87,116.95,5553869
1/30/2013,116.67,116.96,116.16,116.75,9587366
1/31/2013,117.03,117.34,116.55,117.32,6789172
2/1/2013,117.73,117.85,115.51,115.54,10931086
2/4/2013,116.59,117.28,116.42,117.02,9292144
2/5/2013,116.27,116.43,115.87,115.98,6676433
2/6/2013,116.52,116.97,116.05,116.93,5891951
2/7/2013,116.77,117.59,116.62,116.67,5951708
2/8/2013,116.8,117.16,116.23,117.12,5603353
2/11/2013,117.05,117.38,116.92,117.03,3679862
2/12/2013,116.69,117.02,116.46,116.74,4513646
2/13/2013,115.8,116.27,115.55,115.79,6586316
2/14/2013,116.29,117.04,115.99,116.84,7095959
2/15/2013,116.66,116.74,116.07,116.5,5861727
2/19/2013,116.86,116.9,115.84,115.92,7383515
2/20/2013,115.69,116.37,115.57,116.27,9603842
2/21/2013,116.9,117.31,116.74,116.95,8297365
2/22/2013,116.98,117.34,116.88,117.03,5316978
2/25/2013,116.35,119.35,116.29,119.33,15950542
2/26/2013,118.73,119.67,118.59,118.64,9822075
2/27/2013,119.49,119.54,118,118.29,7459783
2/28/2013,118.43,118.66,117.98,118.51,6023419
3/1/2013,118.84,119.21,118.54,118.9,7786708
3/4/2013,118.79,118.97,118.26,118.27,4511507
3/5/2013,118.07,118.2,117.68,117.93,6539510
3/6/2013,117.11,117.5,116.85,116.86,6516384
3/7/2013,116.41,116.51,115.91,115.96,8529824
3/8/2013,114.87,115.36,114.62,114.75,15423563
3/11/2013,115.12,115.23,114.74,114.86,5816048
3/12/2013,115.25,115.79,115.23,115.69,9264266
3/13/2013,115.24,115.74,115.03,115.57,7371420
3/14/2013,115.09,115.64,114.98,115.22,9353089
3/15/2013,115.33,115.88,115.3,115.76,9673395
3/18/2013,116.83,116.88,116.15,116.64,9152175
3/19/2013,116.78,117.89,116.7,117.43,11987175
3/20/2013,116.71,116.99,116.08,116.12,8544030
3/21/2013,116.86,117.25,116.53,117.24,6119489
3/22/2013,117.3,117.5,116.77,117.33,6323721
3/25/2013,116.77,117.78,116.67,117.22,5839792
3/26/2013,116.87,117.91,116.78,117.36,5093190
3/27/2013,118.3,118.77,118.18,118.36,7742886
3/28/2013,118.12,118.45,117.68,117.76,5826335
4/1/2013,117.52,118.42,117.49,118.39,6113747
4/2/2013,118.07,118.14,117.75,117.91,5437907
4/3/2013,118.31,119.29,118.25,118.97,9527382
4/4/2013,119.59,120.41,119.47,120.39,9367035
4/5/2013,122.88,123.43,122.63,122.82,18628186
4/8/2013,122.67,122.87,121.78,121.88,8020245
4/9/2013,122.03,122.24,121.38,121.58,7176656
4/10/2013,120.59,120.66,119.9,119.91,10765547
